Reg,City,Location,Grid,Trail,Plot,LAT,LONG,Sand,Silt,Clay,Inclination,Altitude,Vegetation.structure,Vegetaion.structure2,P,K,Na,Ca,Mg,Al,Al.H,Fe,Zn,Mn,Cu,N.percentage,C.percentage,C.N.percentage,Conductivity,pH,pH.KCl,ant.N,ant.pred.N,ant.nonpred.N
1,Manaus,RFAD,RFAD,L3,1500,-2.9434491,-59.95310723,94,0.937,4.553,8.333,61.741,5852,84,2,16,7,0.02,0.03,0.93,6.06,45,0.66,0.7,0.1,0.03696803,1.397627853,37.80639278,27,4.22,3.38,124,28,96
2,Manaus,RFAD,RFAD,L3,2500,-2.94212762,-59.94426985,94.285,0.728,4.986,10.333,53.393,6271,91,4,26,11,0.03,0.06,1.91,12.86,10,0.45,0.8,0.1,0.050413608,1.776468829,35.23788327,44,3.85,2.73,127,36,91
3,Manaus,RFAD,RFAD,L3,3500,-2.94064096,-59.93543248,92.672,2.826,4,10.167,55.377,2670,92,8,34,12,0.09,0.09,1.31,9.35,10,0.41,1.3,0.3,0.271101404,4.207479708,15.51994807,25,4.37,2.96,74,13,61
4,Manaus,RFAD,RFAD,L3,4500,-2.93923689,-59.92651251,20.25,2,78.282,9.5,88.701,4213,113,1,36,15,0.04,0.1,2.22,13.29,182,0.61,1.5,0.4,0.325875611,4.065972156,12.47706799,84,3.85,3.43,93,16,77
5,Manaus,RFAD,RFAD,L3,500,-2.94477057,-59.9620272,62.408,2.559,35.033,12.333,81.799,4226,90,1,32,16,0.03,0.03,1.73,10.1,205,0.4,1.5,0.4,0.171692833,3.748884212,21.8348323,60,4.02,3.62,112,22,90
6,Manaus,RFAD,RFAD,L4,1500,-2.95228647,-59.95178575,95.129,1.075,3.795,10.667,55.473,2857,77,5,16,6,0.03,0.02,0.91,5.99,20,0.32,0.6,0,0.110577176,1.024760606,9.267379084,20,4.64,3.34,89,17,72
7,Manaus,RFAD,RFAD,L4,2500,-2.9508824,-59.94286579,18.764,1,79.731,6.833,100.118,4703,95,1,28,10,0.07,0.09,1.82,10.73,157,0.49,1.7,0.2,0.315822791,4.17128566,13.2076778,60,4.04,3.59,107,19,88
8,Manaus,RFAD,RFAD,L4,3500,-2.94947833,-59.93402841,14,9.284,77.326,3.667,105.121,4596,90,3,24,11,0.06,0.05,2.47,12.66,213,0.62,1.9,0.3,0.283395847,3.43919826,12.13566921,140,3.71,NA,114,31,83
9,Manaus,RFAD,RFAD,L4,4500,-2.94807427,-59.92510844,11.026,2.186,86.789,1.5,98.942,5730,114,2,26,14,0.05,0.03,2.09,10.77,221,0.77,1,0.3,0.265616719,3.188690772,12.00485716,119,3.95,NA,80,20,60
10,Manaus,RFAD,RFAD,L4,500,-2.95369054,-59.96062313,98.085,0.293,1.621,1.8,46.789,2963,103,2,12,5,0.02,0.05,0.7,5.39,8,0.37,1.2,0,0.15054536,2.169541003,14.41121137,18,4.43,3.01,126,25,101
11,Manaus,RFAD,RFAD,L5,1500,-2.96120644,-59.95038168,16,3.287,81.314,10.5,93.691,3330,104,3,28,17,0.02,0.06,2.21,11.62,207,0.41,0.6,0.2,0.292715302,4.424535823,15.11549204,132,3.85,3.64,90,20,70
12,Manaus,RFAD,RFAD,L5,2500,-2.95980237,-59.94154431,42.576,4.089,53.335,9.5,73.934,4240,102,4,24,13,0.02,0.06,1.94,10.25,223,0.38,0.8,0.2,0.171992247,2.002380744,11.64227328,106,3.99,3.61,79,12,67
13,Manaus,RFAD,RFAD,L5,3500,-2.9583983,-59.93262434,14.014,2.689,83.298,0.667,103.457,4056,106,3,36,22,0.06,0.08,2.88,14.19,285,0.63,0.9,0.4,0.218959307,2.598583051,11.86788122,192,3.67,3.47,74,14,60
14,Manaus,RFAD,RFAD,L5,4500,-2.95699423,-59.92378697,11.735,3.944,84.32,3.667,94.888,5576,110,3,32,19,0.05,0.05,2.7,15.11,243,0.41,0.8,0.3,0.323763827,5.001463139,15.44787501,163,3.77,3.6,72,13,59
15,Manaus,RFAD,RFAD,L5,500,-2.96261051,-59.95930165,94.89,2.354,2.756,3.333,56.092,2969,117,12,42,12,0.13,0.12,1.32,10.98,18,0.7,1.9,0.1,0.258502968,4.399745196,17.02009547,41,4.48,3.06,103,22,81
16,Manaus,RFAD,RFAD,L6,1500,-2.97004382,-59.94906021,85.985,2.201,11.814,21.833,53.557,4276,84,4,16,10,0.04,0.04,1.31,6.98,111,0.86,0.7,0.1,0.153885828,2.167234553,14.08339272,36,4.36,3.71,118,24,94
17,Manaus,RFAD,RFAD,L6,2500,-2.96863975,-59.94014024,92.649,3.471,3.88,2.667,60.513,3938,98,12,26,11,0.06,0.05,1.13,7.62,20,0.68,0.3,0.2,0.180303517,2.840761809,15.75544309,30,4.83,3.41,99,10,89
