Parcela,Familia,Especie,Morfo,Taxon,N Indv,Alcool,Data,Longitude,Latitude,Coletor,Tombo
M1_TN_0500,Cosmetidae,Paecilaema_manifestum,,Co_Paecilaema_manifestum,1,92,09/24/2012,-59.8556299601,-3.3533770032,Colmenares,3447
M1_TN_0500,Cosmetidae,Taito_oblongatus,,Co_Taito_oblongatus,1,92,09/24/2012,-59.8556299601,-3.3533770032,Ferreira,3448
M1_TN_0500,Cosmetidae,Taito_oblongatus,,Co_Taito_oblongatus,2,92,09/24/2012,-59.8556299601,-3.3533770032,Ferreira,3449
M1_TN_0500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,11,92,09/24/2012,-59.8556299601,-3.3533770032,Ferreira,3450
M1_TN_0500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,24,92,09/24/2012,-59.8556299601,-3.3533770032,Ferreira,3451
M1_TN_0500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,19,92,09/24/2012,-59.8556299601,-3.3533770032,Ferreira,3452
M1_TN_0500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,42,92,09/24/2012,-59.8556299601,-3.3533770032,Colmenares,3453
M1_TN_0500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,13,92,09/24/2012,-59.8556299601,-3.3533770032,Ferreira,3454
M1_TN_0500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,4,92,09/24/2012,-59.8556299601,-3.3533770032,Colmenares,3455
M1_TN_0500,Sclerosomatidae,Gen1_sp1,a,Sc_Gen1_sp1_a,1,92,09/24/2012,-59.8556299601,-3.3533770032,Colmenares,3456
M1_TN_0500,Sclerosomatidae,Gen1_sp1,b,Sc_Gen1_sp1_b,3,92,09/24/2012,-59.8556299601,-3.3533770032,Ferreira,3457
M1_TN_0500,Sclerosomatidae,Gen2_sp1,,Sc_Gen2_sp1,9,92,09/24/2012,-59.8556299601,-3.3533770032,Colmenares,3458
M1_TN_0500,Sclerosomatidae,Gen2_sp1,,Sc_Gen2_sp1,2,92,09/24/2012,-59.8556299601,-3.3533770032,Ferreira,3459
M1_TN_1500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,1,100,09/24/2012,-59.8468582146,-3.3509998955,Colmenares,3460
M1_TN_1500,Cosmetidae,Cynortellula_bimaculata,,Co_Cynortellula_bimaculata,1,100,09/24/2012,-59.8468582146,-3.3509998955,Colmenares,3461
M1_TN_1500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,15,92,09/24/2012,-59.8468582146,-3.3509998955,Ferreira,3462
M1_TN_1500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,18,92,09/24/2012,-59.8468582146,-3.3509998955,Colmenares,3463
M1_TN_1500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,54,92,09/24/2012,-59.8468582146,-3.3509998955,Ferreira,3464
M1_TN_1500,Cosmetidae,Taito_oblongatus,,Co_Taito_oblongatus,3,92,09/24/2012,-59.8468582146,-3.3509998955,Ferreira,3465
M1_TN_1500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,6,92,09/24/2012,-59.8468582146,-3.3509998955,Ferreira,3466
M1_TN_1500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,6,92,09/24/2012,-59.8468582146,-3.3509998955,Colmenares,3467
M1_TN_1500,Cosmetidae,Taito_sp1,,Co_Taito_sp1,1,92,09/24/2012,-59.8468582146,-3.3509998955,Ferreira,3468
M1_TN_1500,Cosmetidae,Taito_oblongatus,,Co_Taito_oblongatus,3,92,09/24/2012,-59.8468582146,-3.3509998955,Ferreira,3469
M1_TN_1500,Stygnidae,Stygnus_aff_lesserti,,St_Stygnus_aff_lesserti,2,92,09/24/2012,-59.8468582146,-3.3509998955,Ferreira,3470
M1_TN_1500,Stygnidae,Stygnus_aff_pectinipes,,St_Stygnus_aff_pectinipes,1,92,09/24/2012,-59.8468582146,-3.3509998955,Colmenares,3471
M1_TN_1500,Sclerosomatidae,Gen1_sp1,a,Sc_Gen1_sp1_a,3,92,09/24/2012,-59.8468582146,-3.3509998955,Ferreira,3472
M1_TN_1500,Sclerosomatidae,Gen1_sp1,b,Sc_Gen1_sp1_b,3,92,09/24/2012,-59.8468582146,-3.3509998955,Colmenares,3473
M1_TN_1500,Cosmetidae,Paecilaema_manifestum,,Co_Paecilaema_manifestum,1,92,09/24/2012,-59.8468582146,-3.3509998955,Colmenares,3474
M1_TN_2500,Cosmetidae,Gen1_sp1,,Co_Gen1_sp1,67,92,09/23/2012,-59.838231476,-3.3488872368,Ferreira,3475
